Epochs,train_loss,val_loss
1,6685689361.5,1398836655.3426723
2,5046242571.0125,1108109432.4719827
3,4210050858.825,960656259.4730604
4,3759297212.93125,870817919.2327586
5,3439548475.73125,797627555.2909483
6,3160698080.525,731598709.0840517
7,2906161438.20625,671011779.0959052
8,2673820505.125,615517476.6600215
9,2459288206.08125,565066723.6115302
10,2264194943.990625,519172318.43265086
11,2088453942.4296875,477976286.54525864
12,1931544942.025,441452019.29256463
13,1792082436.1046875,409151028.66675645
14,1670966181.6265626,381456677.89897627
15,1566141894.2109375,357828953.67349136
16,1478517077.2703125,338585572.26050645
17,1408065647.8453126,323361515.41002154
18,1353596008.50625,311994204.4897629
19,1313648394.9390626,304142406.79256463
20,1287357190.05,299315586.20608836
21,1272135662.7140625,296613333.03960127
22,1263366899.8625,295316083.8995151
23,1258725163.5203125,294735034.84536636
24,1256551360.734375,294470204.39412713
25,1255795395.921875,294302112.4975754
26,1254751195.9671874,294209612.7675108
27,1254748526.1015625,294104133.6403556
28,1253732809.8359375,294043765.04067886
29,1253385109.690625,294000197.2279095
30,1253008717.875,293911585.8211207
31,1252710244.9234376,293843741.73841596
32,1252453811.4359374,293833352.9512392
33,1253744808.85625,293764421.03960127
34,1251810735.4015625,293713822.4587823
35,1252655287.00625,293667744.78744614
36,1251650696.6765625,293643663.47710127
37,1251166362.9140625,293599798.3054957
38,1251027612.6109376,293543453.3973599
39,1251045818.9109375,293515836.5487608
40,1250755139.153125,293494385.20743537
41,1250478713.2078125,293496665.1810345
42,1250431970.6046875,293447833.81088364
43,1250219773.409375,293432641.6543642
44,1250014992.9203124,293370936.5913254
45,1249982167.8078125,293356752.88793105
46,1249634417.4421875,293361308.18588364
47,1249645799.184375,293336510.51831895
48,1249472505.646875,293306057.1150323
49,1249414566.9414062,293286228.4622845
50,1249191121.2046876,293293212.99164873
51,1250515871.0890625,293251548.3200431
52,1248936339.015625,293241204.6619073
53,1248882712.8203125,293205851.7454203
54,1249340618.775,293186449.04391164
55,1248888114.06875,293190347.17591596
56,1248663889.5375,293138647.02747846
57,1248610733.46875,293139511.88011855
58,1248840720.7,293145063.43399787
59,1248434111.3671875,293126374.43345904
60,1248407585.965625,293107153.8774246
61,1248218701.728125,293074371.9542026
62,1248239444.6960938,293073440.70797414
63,1248135483.2125,293066996.2801724
64,1247912976.3546875,293027727.90140086
65,1248681058.503125,293019800.8814655
66,1247825239.1421876,293022994.08432114
67,1247774193.875,293018603.9563578
68,1247636994.25,293000812.21578664
69,1247881258.7375,292985271.4552802
70,1247533556.2703125,292975636.4733297
71,1247482839.2328124,292967158.4393858
72,1247984395.68125,292943498.32758623
73,1247337821.2609375,292927903.873653
74,1247452750.64375,292925074.6037177
75,1247264580.5046875,292917206.0713901
76,1247096630.6125,292889428.54418105
77,1247222887.6015625,292884379.5018858
78,1247250891.06875,292890257.42618537
79,1247079762.271875,292866966.5320582
80,1247125148.81875,292878612.51616377
81,1247122006.9,292854867.70016164
82,1247483681.50625,292858743.6821121
83,1247010137.721875,292837894.62446123
84,1247145561.8234375,292818057.7677802
85,1246740912.8015625,292798799.1295797
86,1246613240.315625,292799904.5304418
87,1246664888.2015624,292797109.6414332
88,1246583315.0453124,292760945.2632004
89,1246632689.24375,292770577.0056573
90,1246496460.8140626,292755789.1074892
91,1246727790.89375,292745076.64682114
92,1246357551.734375,292731798.545528
93,1246519370.8203125,292750229.2346444
94,1246391848.478125,292723888.4278017
95,1246241624.8921876,292705775.0905172
96,1246208673.6984375,292705003.70743537
97,1246078684.0484376,292702946.5913254
98,1246511446.215625,292681450.1204203
99,1246758143.3875,292679831.9822198
100,1247865788.440625,292670773.62122846
