Epochs,train_loss,val_loss
1,2883589294.48125,78910081.45927061
2,1083435610.3289063,63325846.3589709
3,1048887246.4359375,73876722.22427262
4,1048104570.3742187,98162757.71026401
5,1023880296.5875,101303482.6668575
6,1025000455.8453125,81350194.92126885
7,992274322.6007812,66887696.19793911
8,992338251.321875,62143128.45302398
9,983185455.2058594,129983959.45383216
10,966769541.1492188,168615755.60971174
11,939190163.3421875,74614163.15870824
12,943361590.3570312,82180366.89799973
13,931374826.9078125,98782875.7620555
14,940311971.5226562,73201972.38826779
15,913880719.5539062,109427169.60277478
16,916687719.728125,76859160.44110318
17,916157376.5671875,120920939.0940194
18,897620349.6726563,138495633.6767915
19,880439627.2042968,106636054.39837015
20,890839463.9484375,111981370.52390894
21,878689023.4863281,78031378.39335264
22,845919999.1738281,99526503.29657193
23,850242085.2003906,87377594.15257947
24,823601316.1125,100827505.94312365
25,837109884.3914063,161209307.01427802
26,834647598.3585937,104674122.7460264
27,851409586.5488281,124227331.58714978
28,847253433.9007813,141450863.90766433
29,838525562.6648438,99521535.42766702
30,841056704.9757812,104421785.48477909
31,836307780.390625,109734705.49818157
32,824110017.0710938,112818618.0463362
33,841781349.321875,84303395.30647226
34,841427199.6011719,98527921.30041084
35,825649572.1335938,109774815.01912716
36,821291281.8234375,118416903.34960938
37,828969429.3925781,105778878.70150863
38,839391463.1054688,177819092.69780442
39,826777474.4445312,114262471.95447198
40,809295532.0816406,116069584.19032866
41,820032310.7597656,130166567.74302937
42,824733840.5890625,133283767.30185884
43,832036398.33125,183694359.8070447
44,839184269.3148438,124278871.80037716
45,834239365.7246094,144447337.6032799
46,832814345.6410156,138634519.28488687
47,837074092.5421875,108984445.02858971
48,833982818.5960938,96424694.31287041
49,830898436.0460937,134330269.37119478
50,840062174.0792968,115472188.56068157
51,832525634.4105469,128866943.09637661
52,825411213.5632813,104471632.6099138
53,832301132.5453125,104603457.85186557
54,831794316.8554688,106812493.15264682
55,837290764.9441407,135020988.47144395
56,820407448.8304688,125864619.43817349
57,820314808.9640625,115119315.49212015
58,842694576.465625,144876574.55290276
59,831689567.0945313,131971906.90712553
60,833002930.115625,149412113.50518587
61,836500253.3992188,142056090.9034887
62,838497297.7242187,122904811.1138874
63,841380983.8789062,124348541.57953933
64,835057269.2855469,74442296.48454337
65,821844678.978125,117099794.16322063
66,843131259.5375,121203170.52966729
67,837095476.9023438,150274287.4160493
68,817895472.8,116744237.60631062
69,821210497.1691406,89645233.31549704
70,842039376.6117188,106128064.64227505
71,830022520.8398438,88289778.99080685
72,823047899.2867187,147831256.85614225
73,819070988.534375,142907391.38634834
74,822671068.2148438,206224620.49737337
75,845309306.3246094,131418395.95137392
76,826064257.2699219,108300322.07051454
77,828419007.1601562,106219668.51050647
78,829740441.4863281,131044167.43009159
79,832245207.4988282,107531372.63698815
80,816007754.8007812,89705281.04694235
81,839319593.5007813,101477230.15274784
82,825626541.4195312,101149211.28293373
83,824990561.2984375,118086075.71359779
84,829176075.3015625,175274660.82839438
85,816235398.403125,135757348.58260372
86,815237031.5503906,125251332.38476562
87,829336001.93125,111420767.44881466
88,822265460.5953125,136693702.2345097
89,825101098.4695313,114649153.11654769
90,826839909.84375,120002621.36553745
91,853020702.4140625,106186818.55081493
92,822561436.5019531,102225712.60031654
93,822908016.9460938,114399373.3242861
94,827563733.7273438,127175635.73440868
95,829334111.2628906,100894037.91510642
96,831512452.0621094,123671398.86472926
97,853908352.8476562,83933224.27589574
98,833487899.0460937,96519628.00895743
99,837687066.5210937,114644795.06357759
100,823805534.5636718,158961834.93430093
