Epochs,train_loss,val_loss
1,8593990457.4375,1856196473.2638888
2,6759424520.1875,1510102543.1597223
3,5669023326.375,1309524746.2361112
4,5020520679.8125,1189333674.6875
5,4620506807.90625,1104787975.7152777
6,4292510413.5625,1032535308.7951388
7,4023733945.15625,966641186.3715278
8,3753102739.9375,905371986.9027778
9,3520442182.78125,848733840.4965278
10,3297173484.65625,796415088.2256944
11,3095441469.84375,748282922.1857638
12,2908448004.390625,704416398.4305556
13,2746162453.21875,664560576.3784722
14,2591788897.25,628657052.1458334
15,2454572322.171875,596684065.7309028
16,2334709719.9921875,568492555.9670138
17,2227905844.703125,544139186.0737847
18,2136180005.703125,523542900.9027778
19,2061378247.5234375,506505647.2239583
20,1999182143.03125,493047433.2300347
21,1952913303.8359375,482832274.8185764
22,1922241858.5703125,475675671.6189236
23,1901994769.390625,470962363.9696181
24,1876101220.6015625,467948759.9982639
25,1868949306.8359375,466229488.7065972
26,1863143918.296875,465400407.5442708
27,1859455259.453125,464874253.1623264
28,1879986538.0234375,464627382.3767361
29,1855369194.953125,464469439.1414931
30,1856411295.203125,464287354.8168403
31,1854043592.546875,464240338.6440972
32,1851756490.65625,464093405.0199653
33,1852108940.1484375,464208623.5034722
34,1853094109.3359375,464166632.0963542
35,1854238436.609375,464314684.3463542
36,1867655575.34375,464297828.640625
37,1847975739.90625,464289865.8142361
38,1847987553.6484375,464301798.5086806
39,1851450797.09375,464286420.2118056
40,1846611618.3671875,464427071.4895833
41,1846437249.109375,464319525.7777778
42,1845456033.0078125,464299600.3194444
43,1847404507.7734375,464294640.9618056
44,1845730452.6640625,464318838.5798611
45,1843294933.1171875,464346266.1961806
46,1847159390.765625,464233594.5824653
47,1842197704.9453125,464242406.1267361
48,1844370933.53125,464182797.1345486
49,1842545016.8515625,464232331.8072917
50,1842528620.375,464265588.8385417
51,1842420615.859375,464271296.0642361
52,1842008600.5,464284456.5434028
53,1842524872.8828125,464212984.0399306
54,1840082986.0390625,464306012.1432292
55,1839642477.5546875,464224954.4887153
56,1841840171.3203125,464322513.9279514
57,1839868524.0859375,464333501.7595486
58,1844852429.375,464275959.5659722
59,1840180625.2109375,464340119.6762153
60,1839549252.265625,464217030.9270833
61,1842840512.109375,464295602.0364583
62,1838019385.984375,464319937.3376736
63,1838306746.9296875,464276314.7239583
64,1837322503.7421875,464258893.3003472
65,1837838321.796875,464212792.6076389
66,1836775872.4453125,464213985.0885417
67,1837028745.1640625,464256863.3819444
68,1836312844.5,464163490.7829861
69,1836905674.328125,464282971.6197917
70,1837237370.2890625,464267433.6163194
71,1835816271.296875,464365529.3272569
72,1836526202.984375,464312312.578125
73,1841295430.203125,464315398.1597222
74,1834870418.484375,464304128.9930556
75,1834575109.7421875,464283576.6345486
76,1835390961.625,464257381.2838542
77,1911354374.6953125,464298152.7118056
78,1836232155.8828125,464241811.7560764
79,1837300255.15625,464287792.1501736
80,1834503103.328125,464257170.0321181
81,1836029940.90625,464225317.6710069
82,1836602052.453125,464237191.4548611
83,1834690890.6328125,464245564.765625
84,1834785512.953125,464168834.2213542
85,1834602124.296875,464214214.8472222
86,1833146552.921875,464190399.3671875
87,1835031787.09375,464367923.7239583
88,1834337079.8515625,464313700.4010417
89,1833028948.9921875,464324741.2925347
90,1833849425.1875,464340873.4921875
91,1833151928.9765625,464254596.6727431
92,1835619446.1015625,464317097.8177083
93,1833117119.65625,464257190.6128472
94,1832743139.8125,464326818.7222222
95,1833113799.0625,464249198.3107639
96,1831501905.34375,464186687.7473958
97,1832731026.9296875,464194581.4470486
98,1834057683.7265625,464255485.4409722
99,1831065305.5546875,464272838.3064236
100,1833193891.828125,464353975.4947917
