Epochs,train_loss,val_loss
1,4046142016.2285156,536159249.3428819
2,1482238976.3789062,900329519.860026
3,1390449247.9804688,258865501.66124132
4,1368835343.1796875,222378774.90429688
5,1321057230.5097656,390191207.5512153
6,1351922130.4648438,299624683.2430556
7,1230297800.1367188,758019498.6914062
8,1293079738.1054688,323245253.13183594
9,1264427250.2578125,339235071.9448242
10,1235978906.1523438,204037124.39116752
11,1224949316.171875,322803301.3318142
12,1182495315.3671875,191633485.03276908
13,1188201023.0546875,336651094.23046875
14,1218957517.5429688,297338539.7063802
15,1196026971.3085938,151663682.25987414
16,1144255468.3203125,238326099.56184897
17,1151670049.3554688,101746550.29947917
18,1131829190.0273438,197098477.27799478
19,1132111198.6601562,183360891.55989584
20,1124812083.2890625,384808820.5219184
21,1099558925.3144531,203509774.2919922
22,1109199854.5742188,163350493.84874132
23,1129774874.2539062,146345989.5323893
24,1115613966.8125,197775043.56944445
25,1079023336.3359375,235565594.43359375
26,1079284993.7890625,233811565.34114584
27,1090980243.1601562,203902461.84960938
28,1115993243.8164062,206090345.20670572
29,1058932981.265625,309141634.6684028
30,1045564013.1835938,228749420.88780382
31,1027386038.0585938,203609938.4704861
32,1048993608.3359375,191231349.91384548
33,1050752429.390625,292465756.13953996
34,1039199443.4375,243936786.4986979
35,1030528873.4960938,223774450.6605903
36,1029587583.609375,270962805.5974392
37,1052884285.8984375,200074158.34874132
38,1006842504.234375,116465144.0405816
39,1023244684.5742188,160493620.59299046
40,1025432765.4960938,211068721.8407118
41,1003687156.9804688,236992797.51280382
42,1018317348.984375,202344824.1345486
43,1036242020.0585938,123619579.09906684
44,1037527549.6484375,173832367.23220485
45,1018144688.4101562,154056306.4778646
46,1010884475.2636719,160584211.22808158
47,1008879386.4550781,177377352.72612846
48,1014841713.7695312,163254550.26888022
49,1025454358.5214844,173602310.9014757
50,1017280963.1679688,198093412.86263022
51,1031664441.1132812,219065247.2144097
52,1015360719.8671875,114133124.70258246
53,1029411808.28125,136709852.882921
54,1033574139.2011719,230477012.28168404
55,1025078064.3183594,195741202.36957467
56,1013163133.2753906,153255427.44303384
57,1070555609.8242188,164104955.61317274
58,1003175401.5039062,173815402.92686632
59,1010220388.0234375,120505202.4626736
60,1021117576.9296875,280685909.30859375
61,1039365211.6640625,106500276.02289496
62,982244972.03125,239742175.1436632
63,1006716155.46875,147143634.1580946
64,1036757049.5546875,224440810.00672743
65,1029841206.4746094,205068394.9518229
66,1021959363.2226562,171067921.51974827
67,1023604464.4257812,111378302.19395617
68,1024518149.4257812,250044733.61914062
69,1030733213.140625,139683013.9436849
70,989301569.2109375,199908383.5355903
71,1004191383.640625,140013457.3059896
72,1016552447.8007812,233420653.16449654
73,1035277254.1445312,184225830.1419271
74,1023328333.28125,175727247.57183158
75,1004424804.5800781,141957524.1753472
76,1015218195.4726562,237161434.80577257
77,1000976080.65625,164365060.80273438
78,1002914086.5078125,233529823.12131077
79,1033758693.734375,224907527.1953125
80,1014543278.6679688,206689440.75195312
81,1016621520.1914062,238598230.81032985
82,1027227227.7304688,145861244.93945312
83,1005369984.4960938,183310112.88736978
84,1041617915.0429688,238742003.6393229
85,1014683986.0390625,195495418.1171875
86,1016951208.921875,123894613.07628039
87,1048851245.9648438,180063474.53862846
88,1023335176.9785156,162455577.38563368
89,1005137903.4375,201568758.45225695
90,1007015961.3164062,280075931.2039931
91,983187853.46875,298289295.7803819
92,1019370041.6269531,189277746.69618055
93,1028076864.6875,153292486.72460938
94,1028128917.2851562,129882004.53081597
95,1001031993.5410156,145973467.0546875
96,1012098086.7109375,235156429.09570312
97,1024999354.8398438,156383880.9279514
98,1004888075.7226562,198743075.6124132
99,1007676532.1679688,178915381.22243923
100,1021704488.9746094,139746685.63606772
