Epochs,train_loss,val_loss
1,8566567643.65625,1853728152.7430556
2,6766345816.5625,1514848296.3680556
3,5720365147.875,1326692772.8125
4,5130818627.4375,1221443283.0902777
5,4791151266.25,1158009018.6111112
6,4582759171.96875,1116620739.8541667
7,4436613753.25,1089867990.125
8,4349239391.5,1074512839.1805556
9,4312928738.46875,1067460296.2638888
10,4286537955.1875,1065666990.7256944
11,4284109146.65625,1065666990.7256944
12,4278196110.90625,1063875620.5069444
13,4269274316.0625,1056941271.0486112
14,4223415146.28125,1042234623.5659722
15,4137320154.40625,1018158985.4097222
16,4023408316.8125,984682676.9965278
17,3871555398.40625,942929156.4791666
18,3697020086.03125,895114918.5104166
19,3491620267.0625,844306520.4895834
20,3281167978.5,793564855.6666666
21,3087033589.484375,745732220.1024306
22,2907159931.78125,702918790.6215278
23,2793167172.65625,666713010.9114584
24,2614468050.84375,637512365.3559028
25,2524757042.234375,615208913.3454862
26,2435674292.640625,599371311.9305556
27,2379646374.421875,588883106.5538194
28,2349110611.34375,582808620.1614584
29,2329641461.3046875,580056163.6597222
30,2321624066.2265625,579347112.2760416
31,2322734986.0859375,579347112.2760416
32,2332391830.0078125,578635791.5277778
33,2315760494.1796875,575925415.3020834
34,2296069200.484375,570209212.2291666
35,2266501674.359375,561025945.2222222
36,2230697478.6875,548689447.0998263
37,2167768817.78125,534089350.3776042
38,2107719864.828125,518691404.1163194
39,2046849088.4375,503904948.5642361
40,1992172405.6953125,491284941.3550347
41,2074738768.859375,481503400.8315972
42,1912735764.9375,474846311.4149306
43,1892534937.1875,470586750.2109375
44,1885578604.6875,468188567.3289931
45,1869664999.1015625,466826079.8324653
46,1872281668.1796875,466076326.1319444
47,1864040842.3359375,465697724.25
48,1862865407.5625,465521921.3402778
49,1863864058.0859375,465448466.8489583
50,1862788319.5234375,465427658.8932292
51,1861309910.3828125,465427658.8932292
52,1860770256.15625,465407766.4565972
53,1863890520.90625,465327422.8576389
54,1859555818.6875,465183845.8802083
55,1867896234.609375,464962605.0451389
56,1857566263.828125,464808105.8550347
57,1860342383.8515625,464574821.0538194
58,1855169303.4765625,464406081.6597222
59,1853953918.09375,464285429.3645833
60,1853675226.59375,464238688.3576389
61,1852585586.7265625,464326635.7291667
62,1859590561.3515625,464274593.1041667
63,1850181384.171875,464140868.9010417
64,1850877274.0234375,464145140.1232639
65,1849294733.6953125,464152119.6727431
66,1848395423.6328125,464142105.5069444
67,1850315584.5390625,464164073.9045139
68,1859588948.578125,464155071.4479167
69,1848202695.4765625,464148084.3125
70,1862349984.515625,464153231.3854167
71,1848553425.6796875,464153231.3854167
72,1874320580.3359375,464152693.1171875
73,1862210820.6484375,464152261.40625
74,1849287161.3125,464147660.5824653
75,1849368466.171875,464168921.4505208
76,1848368076.34375,464154516.4774306
77,1851617983.7578125,464188769.3758681
78,1847569046.0,464180114.3211806
79,1848014820.5859375,464285371.3368056
80,1847814881.1640625,464127567.4739583
81,1849072977.640625,464123164.8836806
82,1845097564.9609375,464013131.5651042
83,1848463946.734375,464098811.2586806
84,1844070491.1875,464063898.234375
85,1959702392.9453125,464260949.8489583
86,1844841409.609375,464303482.3177083
87,1849887345.359375,464319588.4913194
88,1843970825.2421875,464310315.8732639
89,1844316637.21875,464303917.9184028
90,1842363798.078125,464303805.9340278
91,1842709031.7578125,464303805.9340278
92,1845564172.4453125,464303208.0086806
93,1857488731.671875,464303329.3984375
94,1844111819.3125,464301494.5746528
95,1843051920.8984375,464326374.0894097
96,1842284788.1875,464304478.6866319
97,1843225238.734375,464346042.1328125
98,1843173411.0546875,464387570.2864583
99,1844069211.34375,464350381.2039931
100,1841445407.1171875,464471991.7170139
